Designator,Mid X,Mid Y,Layer,Rotation
D1,32.5mm,58.6174mm,Top,270
L101,33.4936mm,27.2888mm,Top,270
L3,8.5388mm,27.0064mm,Top,180
L1,0.5026mm,40.2039mm,Top,270
L2,7.7474mm,29.5461mm,Top,90
C10,1.6577mm,31.7626mm,Top,0
C11,1.6771mm,30.3282mm,Top,180
C12,9.5026mm,32.2039mm,Top,270
C13,7.7474mm,32.2961mm,Top,90
C4,9.7526mm,36.2039mm,Top,270
C5,7.7961mm,42.5026mm,Top,0
C6,1.6577mm,33.3506mm,Top,0
C7,0.5026mm,37.7039mm,Top,270
C8,1.6577mm,22.711mm,Top,0
C9,1.6577mm,24.299mm,Top,0
D2,33.75mm,21mm,Top,90
U1,5.25mm,37.75mm,Top,180
U101,22.25mm,40mm,Top,270
X1,1.7468mm,27.1548mm,Top,90
X101,33.8244mm,32.7128mm,Top,90
R8,11.9761mm,12.385mm,Top,0
R16,39.6002mm,44.5451mm,Top,270
U5,39.0648mm,48.434mm,Top,180
C2,38.5187mm,61.453mm,Top,180
C3,35.8191mm,52.719mm,Top,180
R11,34.0461mm,16.7526mm,Top,0
R12,34.0461mm,39.7526mm,Top,0
R14,38.1002mm,44.5451mm,Top,270
R15,41.1002mm,44.5451mm,Top,270
R17,45.0966mm,47.3921mm,Top,90
R18,44.3026mm,49.9329mm,Top,90
R19,43.5086mm,47.3921mm,Top,90
C101,34.0529mm,37.6382mm,Top,0
C102,33.8941mm,35.7326mm,Top,0
R9,32.4649mm,55.5826mm,Top,0
R103,11.2722mm,43.7397mm,Top,90
R106,12.0662mm,23.7309mm,Top,90
R107,14.2474mm,30.0461mm,Top,90
R108,21.9539mm,32.7474mm,Top,180
R109,18.5461mm,32.7526mm,Top,0
C103,33.7547mm,44.4614mm,Top,180
C104,15.2039mm,32.7474mm,Top,180
C105,13.813mm,26.4305mm,Top,90
R1,4.9539mm,42.4974mm,Top,180
R2,3.7039mm,43.9974mm,Top,180
R3,3.7039mm,45.4974mm,Top,180
R4,45.8958mm,57.2571mm,Top,270
R5,45.8958mm,51.8579mm,Top,270
R6,45.8958mm,54.5575mm,Top,270
R7,34.0461mm,41.7526mm,Top,0
R10,32.2961mm,62.0026mm,Top,0
R104,26.0461mm,32.7526mm,Top,0
R105,29.0461mm,32.7526mm,Top,0
R101,8.0461mm,45.7526mm,Top,0
R102,32.4649mm,54.1534mm,Top,0
Q3,35.73mm,12.6202mm,Top,180
Q1,11.6852mm,18.0975mm,Top,90
